year,lockedR,safeR,leanR,tiltR,swing,tiltD,leanD,safeD,lockedD
1976,0.03531598513011153,0.05018587360594796,0.03717472118959108,0.0762081784386617,0.6078066914498141,0.016728624535315983,0.031598513011152414,0.10594795539033457,0.03903345724907063
1980,0.0724907063197026,0.048327137546468404,0.11524163568773234,0.031598513011152414,0.3903345724907063,0.03345724907063197,0.09665427509293681,0.17657992565055763,0.03531598513011153
1984,0.031598513011152414,0.120817843866171,0.07434944237918216,0.08178438661710037,0.39219330855018586,0.0762081784386617,0.020446096654275093,0.1970260223048327,0.0055762081784386614
1988,0.00929368029739777,0.20631970260223048,0.05947955390334572,0.11338289962825279,0.31226765799256506,0.09107806691449814,0.01858736059479554,0.18401486988847585,0.0055762081784386614
1992,0.03717472118959108,0.18773234200743494,0.08736059479553904,0.031598513011152414,0.2936802973977695,0.06133828996282528,0.18773234200743494,0.10780669144981413,0.0055762081784386614
1996,0.048327137546468404,0.24721189591078066,0.022304832713754646,0.03531598513011153,0.34944237918215615,0.06691449814126393,0.07063197026022305,0.06319702602230483,0.09665427509293681
2000,0.13940520446096655,0.13197026022304834,0.055762081784386616,0.03531598513011153,0.2992565055762082,0.020446096654275093,0.0,0.2211895910780669,0.09665427509293681
2004,0.14684014869888476,0.17472118959107807,0.01858736059479554,0.03531598513011153,0.2211895910780669,0.06319702602230483,0.048327137546468404,0.19330855018587362,0.09851301115241635
2008,0.16171003717472118,0.13568773234200743,0.0055762081784386614,0.0687732342007435,0.20631970260223048,0.03717472118959108,0.09293680297397769,0.20817843866171004,0.08364312267657993
2012,0.22676579925650558,0.12825278810408922,0.0,0.027881040892193308,0.23234200743494424,0.03903345724907063,0.013011152416356878,0.2342007434944238,0.09851301115241635
2016,0.21189591078066913,0.137546468401487,0.0,0.07806691449814127,0.22490706319702602,0.00929368029739777,0.01858736059479554,0.10594795539033457,0.2137546468401487
2020,0.20074349442379183,0.14869888475836432,0.0,0.08178438661710037,0.18029739776951673,0.03345724907063197,0.016728624535315983,0.17843866171003717,0.15985130111524162
2024,0.1449814126394052,0.23048327137546468,0.031598513011152414,0.0,0.18029739776951673,0.07806691449814127,0.007434944237918215,0.14684014869888476,0.18029739776951673
2028,0.05018587360594796,0.11338289962825279,0.027881040892193308,0.13568773234200743,0.3513011152416357,0.01858736059479554,0.06319702602230483,0.18029739776951673,0.05947955390334572
2032,0.027881040892193308,0.19888475836431227,0.016728624535315983,0.04460966542750929,0.47026022304832715,0.08178438661710037,0.0055762081784386614,0.14869888475836432,0.0055762081784386614
2036,0.055762081784386616,0.07992565055762081,0.011152416356877323,0.1449814126394052,0.5464684014869888,0.026022304832713755,0.024163568773234202,0.10594795539033457,0.0055762081784386614
2040,0.024163568773234202,0.18029739776951673,0.011152416356877323,0.0,0.6059479553903345,0.04275092936802974,0.0,0.12267657992565056,0.013011152416356878
2044,0.03903345724907063,0.18773234200743494,0.0,0.07063197026022305,0.44423791821561337,0.01486988847583643,0.10780669144981413,0.12267657992565056,0.013011152416356878
2048,0.05762081784386617,0.20446096654275092,0.01858736059479554,0.06319702602230483,0.49814126394052044,0.027881040892193308,0.0,0.1171003717472119,0.013011152416356878
2052,0.13011152416356878,0.1412639405204461,0.07806691449814127,0.15055762081784388,0.20074349442379183,0.03531598513011153,0.020446096654275093,0.2174721189591078,0.026022304832713755
2056,0.11895910780669144,0.15985130111524162,0.046468401486988845,0.19516728624535315,0.12639405204460966,0.05018587360594796,0.13568773234200743,0.1412639405204461,0.026022304832713755
2060,0.04460966542750929,0.23605947955390336,0.120817843866171,0.10966542750929369,0.1412639405204461,0.03717472118959108,0.03903345724907063,0.22676579925650558,0.04460966542750929
2064,0.11338289962825279,0.16356877323420074,0.12825278810408922,0.13197026022304834,0.11524163568773234,0.022304832713754646,0.020446096654275093,0.2527881040892193,0.05204460966542751
2068,0.0687732342007435,0.26022304832713755,0.031598513011152414,0.13940520446096655,0.120817843866171,0.05947955390334572,0.031598513011152414,0.19144981412639406,0.09665427509293681
2072,0.10780669144981413,0.28810408921933084,0.0,0.06133828996282528,0.1821561338289963,0.1412639405204461,0.026022304832713755,0.12825278810408922,0.06505576208178439
2076,0.08550185873605948,0.2695167286245353,0.020446096654275093,0.08178438661710037,0.18773234200743494,0.10037174721189591,0.048327137546468404,0.09665427509293681,0.10966542750929369
2080,0.20631970260223048,0.1524163568773234,0.02973977695167286,0.048327137546468404,0.22490706319702602,0.00929368029739777,0.01858736059479554,0.20074349442379183,0.10966542750929369
2084,0.10037174721189591,0.20631970260223048,0.016728624535315983,0.0,0.25650557620817843,0.06319702602230483,0.026022304832713755,0.22862453531598512,0.10223048327137546
2088,0.19330855018587362,0.07806691449814127,0.03717472118959108,0.03717472118959108,0.2788104089219331,0.040892193308550186,0.04460966542750929,0.17286245353159851,0.1171003717472119
2092,0.22490706319702602,0.120817843866171,0.031598513011152414,0.08550185873605948,0.12267657992565056,0.10594795539033457,0.02973977695167286,0.16171003717472118,0.1171003717472119
2096,0.2342007434944238,0.08178438661710037,0.0,0.06133828996282528,0.22490706319702602,0.04275092936802974,0.07063197026022305,0.22676579925650558,0.05762081784386617
2100,0.21933085501858737,0.07063197026022305,0.0,0.048327137546468404,0.19330855018587362,0.07063197026022305,0.05204460966542751,0.12267657992565056,0.22304832713754646
