year,E_EV,E_VAR,E_SHOCK,E_RESID,E_EV_MARGIN,E_EV_QUAD,E_HIST_STATE,E_HIST_EV,E_TOTAL,evd,ev_margin,shock_frac,n_avail
1976,0.0,0.0,0.0,0.0,6.6275987633652145,0.14693214986691291,0.22743350563980125,0.0,7.001964418871929,0.003017633536697521,0.005549845452353239,0.534841628959276,56.0
1980,0.0,0.0,0.0,0.0,6.850860404440728,0.00047686434012094076,0.6962768070104597,0.0,7.547614075791309,0.0030901523731258693,0.005694883125209932,0.6434389140271493,56.0
1984,0.0,0.0,0.0,0.0,0.8367082865377921,0.06986980172468975,0.47907841868760087,0.0,1.3856565069500826,-0.002854053614092227,-0.0062181929038539994,0.4805429864253393,56.0
1988,0.0,0.0,0.0,0.0,0.1407660588816224,0.08373612253653723,0.520331517932882,0.0,0.7448336993510416,-0.0006787750612287334,-0.001867635798126998,0.4832579185520362,56.0
1992,0.0,0.0,0.0,0.0,0.4767665372516091,0.004164486226748411,0.38165116590067905,0.0,0.8625821893790366,-0.0025890904300481243,-0.00546190023415688,0.5167420814479637,56.0
1996,0.0,0.0,0.0,0.0,0.11098662912048818,0.030779204636991242,0.25895110616000877,0.0,0.4007169399174882,-0.001986483612859462,-0.004256686599779562,0.6923076923076923,56.0
2000,0.0,0.0,0.0,0.0,0.00011546590056502268,0.0038019239187727784,0.5251286867139829,0.0,0.5290460765333207,-0.0014065489155499038,-0.0030968172051604598,0.6072398190045248,56.0
2004,0.0,0.0,0.0,0.0,2.8509024105133136,0.01431412912297915,0.47506085809717047,0.0,3.3402773977334634,-0.004238926398560158,-0.008827854547677545,0.6923076923076923,56.0
2008,0.0,0.0,0.0,0.0,0.33184990169731543,0.018890293528264466,0.664102816904354,0.0,1.0148430121299339,-0.0023629952002046165,-0.005075992150966463,0.6769230769230768,56.0
2012,0.0,0.0,0.0,0.0,8.586043446446538,0.07801960321622546,0.7096204238675299,0.0,9.373683473530294,-0.006266996227322651,-0.013015938292404924,0.7312217194570135,56.0
2016,0.0,0.0,0.0,0.0,10.344003525114298,0.0021437514134171943,0.39414213866359626,0.0,10.740289415191311,-0.00674932681197276,-0.013980599461705129,0.7312217194570135,56.0
2020,0.0,0.0,0.0,0.0,16.554945162635246,0.015030447619815871,0.7792545777670228,0.0,17.349230188022084,-0.008187084322002058,-0.016856114481763766,0.7312217194570135,56.0
2024,0.0,0.0,0.0,0.0,2.585975086605784,0.0004920892780305466,0.5429365979196542,0.0,3.129403773803469,-0.004027539306074673,-0.008556802351987011,0.7339366515837104,56.0
