abbr,count,corr,beta,r2,mean_abs_delta
HI,12,0.3403451267435292,22.263975010137713,0.11583480529806894,0.08577934017843729
GA,12,0.35168534869926227,18.75669433392014,0.12368258448972169,0.059883891386406485
ME-02,12,0.31608638079972545,18.25869368005897,0.09991060012706905,0.08049138471882342
AR,12,0.24828734000693767,15.621481676454827,0.06164660320772067,0.08579714873011933
NC,12,0.4606933040922368,13.267306542834511,0.21223832043542218,0.031261964381990325
WV,12,0.3106572180828783,12.202217662704694,0.09650790714699299,0.06465148114872679
MO,12,0.4514429520252842,11.864119283833729,0.20380073893330308,0.03896603167135435
DE,12,0.34541376315603206,11.227610207959977,0.11931066777761141,0.050503751293099676
ME-AL,12,0.23476189444709256,10.721967929438879,0.055113147084387824,0.06546919825714527
OK,12,0.27083453368354377,10.613962654221702,0.0733513446355826,0.057527968321907784
NE-03,12,0.19644043906473202,10.184487891661758,0.038588846099944694,0.06647049429699746
SC,12,0.2912031024446216,10.11693097888602,0.08479924687337279,0.03829858135909773
MI,12,0.28305823334187397,7.618497165858679,0.08012196346262276,0.03273603206814737
KY,12,0.28611569339714993,7.550091532849693,0.0818621900081319,0.04305482007210346
AL,12,0.26013061666283177,7.081393631939779,0.06766793772538512,0.043911519428448086
WY,12,0.15530083412302295,6.808257565730582,0.02411834907930669,0.06194193498146957
LA,12,0.17432223142983647,6.491926840495812,0.030388240370677465,0.048213760452236444
NE-01,12,0.12554496718339314,6.087503888558917,0.01576153878507926,0.06649467479909645
ME-01,12,0.1540059745610146,5.866298143923066,0.02371784020048788,0.06029606913134027
RI,12,0.13807098741078488,5.8643641063339995,0.019063597564589117,0.05855475375298375
KS,12,0.14038328714757992,5.837298885062383,0.019707467310359876,0.05446581186410929
IN,12,0.17548043620693377,5.639613620542601,0.03079338349137575,0.04089157119619793
CT,12,0.16110631618246526,4.42652881255827,0.02595524511388447,0.04081116332208865
NE-AL,12,0.08775016862696049,4.066910525886284,0.007700092094060001,0.06537246227664045
MS,12,0.10320330914982358,3.7064726288060323,0.01065092301947406,0.046881279301954716
FL,12,0.11160115378744953,3.0659812769942145,0.01245481752668996,0.03934658898427159
WI,12,0.09349968963414708,2.9509438512257233,0.008742191961681831,0.04357232770132976
OH,12,0.13303349488683242,2.8654696954279024,0.017697910761804866,0.027935412946385813
NV,12,0.04946994735299294,2.585162117731409,0.002447275691107893,0.06234993531892663
VT,12,0.06386244635885208,2.5446260204234834,0.004078412054937259,0.062135873331266495
SD,12,0.036874299982821004,2.0123926447815252,0.0013597139992230732,0.07937579382273742
NM,12,0.08382184708038966,1.7934527596140653,0.0070261020479682286,0.028759219756073068
TN,12,0.043307671015254415,1.3830369536383613,0.0018755543687655073,0.05124695309639734
ND,12,0.01639824646627705,1.2245989037706408,0.00026890248716876774,0.10775320245687041
IL,12,0.04750357149095786,0.8858356337871905,0.0022565893043965442,0.027899882623785927
NY,12,0.019299535447080164,0.5261392712298922,0.00037247206847310375,0.03896645643829975
NH,12,0.004876950461556783,0.16924568448404625,2.378464580447892e-05,0.04663844765234209
VA,12,-0.008618114884492926,-0.1511290213858334,7.427190416231852e-05,0.02547393658230492
CO,12,-0.030348879732442272,-0.9396994329879114,0.0009210545010142453,0.04629229913687558
WA,12,-0.059881932851314476,-1.1072638038561546,0.003585845882009336,0.029683899184631157
OR,12,-0.051583744187017125,-1.3103575388142055,0.002660882664351623,0.037912470694955104
MT,12,-0.026365312474435968,-1.3318488448811054,0.0006951297018746488,0.07720614014371253
ID,12,-0.037902262590266134,-1.4056032585313851,0.0014365815094614877,0.05345795763891614
TX,12,-0.05827946716982912,-1.5814707286295853,0.00339649629359919,0.03921261662414779
NE-02,12,-0.04051071553850564,-1.8562548681524735,0.0016411180734417221,0.06311795851184875
UT,12,-0.062465890254422715,-4.324056607924516,0.0039019874452775826,0.08982195255378761
PA,12,-0.20313959959211147,-4.514258484472848,0.041265696922443376,0.03025728158421499
MD,12,-0.170340282663637,-4.746658917415492,0.02901581189792775,0.04196377501522588
IA,12,-0.11590060766788067,-5.63439071763007,0.013432950857784,0.05104250395464347
NJ,12,-0.17328408642600046,-5.686322927719106,0.0300273746084936,0.03959196039854219
MN,12,-0.24649334899676986,-5.959104520205096,0.060758971099643386,0.036692932593139334
CA,12,-0.21558283780112897,-7.023226427994031,0.04647595995438788,0.05065740113609816
AK,12,-0.24497063283072015,-9.430154335706774,0.060010610949483505,0.05408712943396734
AZ,12,-0.3567772732638217,-10.469749660569535,0.1272900227175677,0.039360416316524836
MA,12,-0.4261523872150382,-12.839890533698906,0.18160585712907584,0.03884010143722511
DC,12,-0.32528965206121757,-15.289090800159242,0.10581335773810799,0.06825296030096105
